Osoba,2001 Jun-I 10T,2001 Jun-II 10T,2001 Mládež 10T,2001 Dospělí 10T,2001 Jun-I LAT,2001 Jun-II LAT,2001 Mládež LAT,2001 Dospělí LAT,2001 Jun-I STT,2001 Jun-II STT,2001 Mládež STT,2001 Dospělí STT,2001 Senioři STT,2002 Jun-I 10T,2002 Jun-II 10T,2002 Mládež 10T,2002 Dospělí 10T,2002 Jun-I STT,2002 Jun-II STT,2002 Mládež STT,2002 Dospělí STT,2002 Senioři STT,2002 Jun-I LAT,2002 Jun-II LAT,2002 Mládež LAT,2002 Dospělí LAT,2003 Jun-I 10T,2003 Jun-II 10T,2003 Mládež 10T,2003 Dospělí 10T,2003 Mládež LAT,2003 Dospělí LAT,2003 Jun-I STT,2003 Jun-II STT,2003 Mládež STT,2003 Dospělí STT,2003 Senioři STT,2004 Mládež 10T,2004 Dospělí 10T,2004 Jun-I STT,2004 Jun-II STT,2004 Mládež STT,2004 Dospělí STT,2004 Senioři STT,2004 Jun-I LAT,2004 Jun-II LAT,2004 Mládež LAT,2004 Dospělí LAT,2005 Jun-I 10T,2005 Jun-II 10T,2005 Mládež 10T,2005 Dospělí 10T,2005 Jun-II LAT,2005 Mládež LAT,2005 Jun-I LAT,2005 Dospělí LAT,2005 Jun-II STT,2005 Mládež STT,2005 Jun-I STT,2005 Senioři STT,2005 Dospělí STT,2006 Jun-I 10T,2006 Jun-II 10T,2006 Mládež 10T,2006 Dospělí 10T,2006 Jun-I STT,2006 Jun-II STT,2006 Mládež STT,2006 Senioři STT,2006 Dospělí STT,2006 Jun-I LAT,2006 Jun-II LAT,2006 Mládež LAT,2006 Dospělí LAT,2007 Jun-I 10T,2007 Jun-II 10T,2007 Mládež 10T,2007 Dospělí 10T,2007 Jun-II LAT,2007 Mládež LAT,2007 Jun-I LAT,2007 Dospělí LAT,2007 Jun-II STT,2007 Mládež STT,2007 Jun-I STT,2007 Dospělí STT,2007 Senioři STT,2008 Jun-I LAT,2008 Jun-II LAT,2008 Mládež LAT,2008 Dospělí LAT,2008 Jun-I STT,2008 Jun-II STT,2008 Mládež STT,2008 Senioři STT,2008 Dospělí STT,2008 Jun-I 10T,2008 Jun-II 10T,2008 Mládež 10T,2008 Dospělí 10T,2009 Jun-I LAT,2009 Jun-II LAT,2009 Mládež LAT,2009 Dospělí LAT,2009 Senioři LAT,2009 Jun-I STT,2009 Jun-II STT,2009 Mládež STT,2009 Dospělí STT,2009 Senioři-I STT,2009 Senioři-II STT,2009 Jun-I 10T,2009 Jun-II 10T,2009 Mládež 10T,2009 Dospělí 10T,2010 Jun-I LAT,2010 Jun-II LAT,2010 Mládež LAT,2010 Senioři LAT,2010 Dospělí LAT,2010 Jun-I STT,2010 Jun-II STT,2010 Mládež STT,2010 Senioři-I STT,2010 Senioři-II+III STT,2010 Dospělí STT,2010 Jun-I 10T,2010 Jun-II 10T,2010 Mládež 10T,2010 Dospělí 10T,2010 Senioři-I 10T,2011 Jun-I STT,2011 Jun-II STT,2011 Mládež STT,2011 Dospělí STT,2011 Senioři-I STT,2011 Senioři-II STT,2011 Jun-I LAT,2011 Jun-II LAT,2011 Mládež LAT,2011 Dospělí LAT,2011 Senioři LAT,2011 Jun-I 10T,2011 Jun-II 10T,2011 Mládež 10T,2011 Dospělí 10T,2012 Jun-I LAT,2012 Jun-II LAT,2012 Mládež LAT,2012 Senioři-I LAT,2012 Dospělí LAT,2012 Jun-I STT,2012 Jun-II STT,2012 Mládež STT,2012 Senioři-I STT,2012 Senioři-II STT,2012 Dospělí STT,2012 Jun-I 10T,2012 Jun-II 10T,2012 Mládež 10T,2012 Dospělí 10T,2013 Jun-I STT,2013 Jun-II STT,2013 Mládež STT,2013 Do 21let STT,2013 Dospělí STT,2013 Senioři-I STT,2013 Senioři-II STT,2013 Senioři-III STT,2013 Jun-I LAT,2013 Jun-II LAT,2013 Mládež LAT,2013 Do 21let LAT,2013 Dospělí LAT,2013 Senioři-I LAT,2013 Jun-I 10T,2013 Jun-II 10T,2013 Mládež 10T,2013 Do 21let 10T,2013 Dospělí 10T,2014 Jun-I LAT,2014 Jun-II LAT,2014 Mládež LAT,2014 Dospělí LAT,2014 Do 21let LAT,2014 Senioři-I LAT,2014 Jun-I STT,2014 Jun-II STT,2014 Mládež STT,2014 Do 21let STT,2014 Senioři-I STT,2014 Senioři-II STT,2014 Senioři-III STT,2014 Profi STT,2014 Dospělí STT,2014 Jun-II 10T,2014 Mládež 10T,2014 Do 21let 10T,2014 Jun-I 10T,2014 Dospělí 10T,2015 Jun-I STT,2015 Jun-II STT,2015 Mládež STT,2015 Do 21let STT,2015 Senioři-I STT,2015 Senioři-II STT,2015 Senioři-III STT,2015 Profi STT,2015 Dospělí STT,2015 Mládež LAT,2015 Jun-II LAT,2015 Do 21let LAT,2015 Senioři-I LAT,2015 Jun-I LAT,2015 Dospělí LAT,2015 Mládež 10T,2015 Jun-II 10T,2015 Do 21let 10T,2015 Senioři 10T,2015 Jun-I 10T,2015 Dospělí 10T,2016 Jun-II LAT,2016 Mládež LAT,2016 Do 21let LAT,2016 Senioři-I LAT,2016 Jun-I LAT,2016 Profi LAT,2016 Dospělí LAT,2016 Mládež STT,2016 Senioři-II STT,2016 Do 21let STT,2016 Senioři-III STT,2016 Jun-I STT,2016 Jun-II STT,2016 Dospělí STT,2016 Senioři-I STT,2016 Profi STT,2016 Jun-I 10T,2016 Jun-II 10T,2016 Mládež 10T,2016 Do 21let 10T,2016 Dospělí 10T,2016 Senioři 10T,2017 Dospělí STT,2017 Senioři-I STT,2017 Jun-I LAT,2017 Jun-II LAT,2017 Mládež LAT,2017 Do 21let LAT,2017 Senioři-I LAT,2017 Profi LAT,2017 Dospělí LAT,2017 Jun-I 10T,2017 Jun-II 10T,2017 Mládež 10T,2017 Do 21let 10T,2017 Senioři 10T,2017 Dospělí 10T,2018 Jun-I LAT,2018 Jun-II LAT,2018 Mládež LAT,2018 Do 21let LAT,2018 Senioři-I LAT,2018 Senioři-II LAT,2018 Dospělí LAT,2018 Jun-I 10T,2018 Jun-II 10T,2018 Mládež 10T,2018 Do 21let 10T,2018 Dospělí 10T,2018 Senioři-I 10T,2018 Senioři-IV STT,2018 Senioři-II STT,2018 Senioři-III STT,2018 Senioři-I STT,2019 Jun-I LAT,2019 Jun-II LAT,2019 Mládež LAT,2019 Do 21let LAT,2019 Dospělí LAT,2019 Jun-I STT,2019 Jun-II STT,2019 Mládež STT,2019 Do 21let STT,2019 Dospělí STT,2019 Do 21let 10T,2019 Jun-I 10T,2019 Jun-II 10T,2019 Mládež 10T,2019 Dospělí 10T,2020 Jun-I STT,2020 Jun-II STT,2020 Mládež STT,2020 Do 21let STT,2020 Dospělí STT,2020 Jun-I LAT,2020 Jun-II LAT,2020 Mládež LAT,2020 Do 21let LAT,2020 Dospělí LAT,2020 Jun-I 10T,2020 Jun-II 10T,2020 Mládež 10T,2020 Do 21let 10T,2020 Dospělí 10T,2021 Jun-I LAT,2021 Jun-II LAT,2021 Mládež LAT,2021 Do 21let LAT,2021 Dospělí LAT,2021 Jun-I 10T,2021 Jun-II 10T,2021 Mládež 10T,2021 Do 21let 10T,2021 Dospělí 10T,2021 Jun-I STT,2021 Jun-II STT,2021 Mládež STT,2021 Do 21let STT,2021 Dospělí STT,2021 Senioři-III 10T,2022 Jun-I STT,2022 Jun-II STT,2022 Do 21let STT,2022 Mládež STT,2022 Dospělí STT,2022 Jun-I 10T,2022 Jun-II 10T,2022 Mládež 10T,2022 Do 21let 10T,2022 Dospělí 10T,2022 Jun-I LAT,2022 Jun-II LAT,2022 Mládež LAT,2022 Do 21let LAT,2022 Dospělí LAT,2022 Děti STT,2022 Děti LAT,2022 Senioři-I LAT,2022 Senioři-II LAT,2022 Senioři-III LAT,2023 Děti LAT,2023 Jun-I LAT,2023 Jun-II LAT,2023 Mládež LAT,2023 Do 21let LAT,2023 Dospělí LAT,2023 Děti STT,2023 Jun-I STT,2023 Jun-II STT,2023 Mládež STT,2023 Do 21let STT,2023 Dospělí STT,2023 Děti 10T,2023 Jun-I 10T,2023 Jun-II 10T,2023 Mládež 10T,2023 Do 21let 10T,2023 Dospělí 10T
Bajerová Hana,,,,,,,,,,,,24,,,,,,,,,33 - 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelínek Roman,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Přikryl Tomáš,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,3,,,,,,5,,,,,5,,,,,,,,6,,,,,,5,,,,,6,,,,,,4,,,,,,,,3,,,,,,,5,,,,,,,7,,,,,,,,,,,,,12,,,,,,1,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Vejrostová Jolana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,31,,,,,33,,,,,,,,31,,,,,,,25,,,,,,,28 - 29,,,,,,,22 - 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krejčí Lucie,,,,,,,,42 - 48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
František Jaroslav,,,,,,,,,,,,38 - 39,,,,,,,,,13 - 15,,,,,,,,,,,,,,,37,,,,,,,16 - 17,,,,,,,,,,,,,,,,,,24 - 25,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slezáková Janka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 - 9,27,,,,,,,,,,,,,,,33,,,,,19 - 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riebauerová Anna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,10,,,,,,,,3,,,,,,4,,,,,,3,,,,,,11,,,,,,,,6,,,,,,9,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
Ondráček Lukáš,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,10,,,,26 - 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromcová Veronika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38 - 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vlk Marek,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litvík Denis,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pošepná Tereza,,,,,,,,,,,,25 - 27,,,,,7,,,,35,,,,,,,,,6,,17 - 18,,,,13 - 14,,,4,,,,10 - 12,,,,,17 - 19,,,,3,,,,9 - 12,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Žůrek Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilý André,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43 - 48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hassová Stella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 - 25,,,,,,,24 - 25,,,,,,,,,,,,,,,,,,,,,,,,,,,21 - 22,,,,,,20,,,
Högerová Zuzana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,8 - 9,,,,,,,17 - 18,,,,,,,28 - 29,,,,,,,13 - 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vybíralík Bohumil,,,,,,,,,16,,,,,,,,,,18 - 23,,,,,35,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaňková Nela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,22,,,,,17,,,,,,,23,,,,,21,,,,,,,,,,,,,,,,22,,,,,,14,,,,,,16,,,
Bakala Adam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,10,,,,,13,,,,,,9,,,,,17,,,,,,,,13,,,,,,15,,,,,24,,,,,,20,,,,,,,,18,,,,,,,14,,,,,,,,,,,,,,,,,,,,30 - 31,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homolová Vendula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 - 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mladičová Petra,,,,22,,,,,,,,43 - 46,,,,,,,,,27,,,,,,,,,,,,,,,27 - 28,,,,,,,40 - 44,,,,,,,,,,,,,,,,,,50 - 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Šimáček Petr,,,15 - 16,,,,,,,,7,40 - 41,,,,7,,,,7,20 - 21,,,,20 - 21,,,,,13,,,,,,11 - 12,,,,,,,14 - 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cochlarová Lucie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,13,,,,,,11,,,,
Kříž Libor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,
